id;name;is_male;is_old;level;energy;selfreflection;competency;initiative;creativity;cooperation;motivation;current_situation_id;created_at;completed_at
5;ezmegaz;t;f;1;50;4;3;5;3;5;0;3;2026-01-23 21:07:37.060723;
50;adegergaesrg;t;f;3;47;3;4;7;3;5;0;19;2026-01-30 10:03:51.605135;
29;Orsi4;t;f;1;46;5;3;7;1;5;0;21;2026-01-27 23:00:26.14157;
37;o23;t;f;1;50;4;3;5;3;5;0;3;2026-01-28 17:22:30.20184;
30;Orsi5;f;t;3;20;14;11;8;11;7;22;68;2026-01-27 23:07:12.967746;2026-01-27 23:13:05.009272
26;0;t;f;1;41;6;5;6;3;6;2;39;2026-01-27 21:41:34.617221;
6;blabla;t;f;1;46;4;4;6;2;6;0;15;2026-01-23 21:08:29.020315;
7;blablablu;t;t;1;44;5;5;4;3;3;0;1;2026-01-23 21:13:29.558039;
2;Káposztás fergeteg;t;f;3;22;15;7;16;5;11;30;68;2026-01-23 20:46:30.095407;2026-01-23 20:47:03.993073
3;cs;t;f;1;50;4;3;5;3;5;0;1;2026-01-23 20:52:28.959458;
38;jhkhlkhk;t;f;1;50;4;3;5;3;5;0;1;2026-01-28 18:00:55.713456;
10;csümi;t;f;3;25;15;7;12;9;12;34;68;2026-01-26 11:55:47.161345;2026-01-26 11:56:41.980546
27;Bori;t;f;3;47;3;3;5;3;5;0;6;2026-01-27 22:19:41.060216;
19;teszt03;f;t;3;14;15;13;13;10;12;31;68;2026-01-27 15:14:01.58327;2026-01-27 17:02:57.227989
62;asdasasdadsa;f;t;3;18;11;10;10;11;9;17;68;2026-01-30 18:48:46.648459;2026-01-30 15:49:28.089912
55;klsnklsé;t;f;1;14;13;8;13;11;10;30;68;2026-01-30 11:38:36.474154;2026-01-30 11:39:59.415963
17;dnlksnéldfa;t;f;1;47;5;3;7;3;5;0;21;2026-01-27 14:40:12.436517;
57;Orssss;f;f;2;11;19;13;13;14;10;26;68;2026-01-30 11:51:20.420614;2026-01-30 11:56:08.276443
49;mátyáspajtás;t;f;1;21;14;8;13;8;10;21;68;2026-01-28 21:10:44.014243;2026-01-28 21:14:18.328833
20;teszt04;t;f;3;20;17;10;12;11;9;27;68;2026-01-27 17:12:05.360429;2026-01-27 18:30:44.384862
40;asdasdasd;t;f;3;47;3;3;5;3;5;0;6;2026-01-28 18:04:23.536066;
1;drop table;f;t;1;22;10;10;9;9;10;24;68;2026-01-23 20:37:19.216708;2026-01-23 20:39:30.96536
31;sas;f;t;1;42;3;6;4;5;4;0;16;2026-01-28 05:34:53.01252;
21;teszt05;f;t;1;11;10;12;13;10;10;22;68;2026-01-27 18:34:09.136255;2026-01-27 18:46:32.079774
13;tócsni;t;t;3;13;16;12;13;7;8;21;68;2026-01-26 20:34:45.654859;2026-01-26 20:35:32.000969
22;teszt07;f;t;1;13;18;12;14;12;13;38;68;2026-01-27 18:50:32.294761;2026-01-27 19:08:03.636956
14;Teszt01;t;t;1;44;5;6;5;3;3;0;3;2026-01-27 12:08:07.439059;
34;jdlmdfléd;t;f;1;34;8;8;7;9;4;10;43;2026-01-28 13:58:12.941564;
9;Orsi2;t;f;1;22;20;10;14;10;16;33;68;2026-01-23 21:28:57.976899;2026-01-23 21:32:58.235588
32;sas1;t;f;2;23;16;7;14;10;8;28;68;2026-01-28 05:53:25.316404;2026-01-28 06:42:39.03395
12;kock;f;t;2;14;10;9;7;10;7;15;68;2026-01-26 20:33:10.979335;2026-01-26 20:33:46.615958
28;Bori2;t;f;1;23;18;13;16;11;13;28;68;2026-01-27 22:22:06.162648;2026-01-27 22:53:12.566365
41;asd;t;f;3;50;4;3;5;3;5;0;2;2026-01-28 18:05:26.073244;
33;mdlmdlk;t;f;1;15;12;6;11;9;8;27;68;2026-01-28 12:56:46.23756;2026-01-28 12:57:36.515582
25;élélmű;t;f;1;15;11;6;13;9;10;28;68;2026-01-27 21:39:39.082623;2026-01-27 21:41:10.323119
18;Orsi3;t;t;2;13;15;13;14;12;9;33;68;2026-01-27 14:45:51.077599;2026-01-27 22:56:30.025121
15;teszt02;t;t;1;41;5;6;5;2;3;0;17;2026-01-27 12:40:22.950894;
4;máté;t;f;1;19;11;8;12;7;11;19;68;2026-01-23 21:03:02.685602;2026-01-23 21:05:41.355305
53;htebedbrh;t;f;1;49;5;5;7;4;5;0;12;2026-01-30 10:20:06.950695;
